"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Curacao","CUW","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0325","7.07","6.961666667","6.793333333","7.714583333","8.07925","4.480083333","3.42175","2.873333333","1.9975","1.333333333","1.283333333","1.174166667","1.185865722","1.323685906","1.612033333","1.265016667","1.081583333","1.03825","1.024302633","0.861548173","0.701499898","0.529332846","0.373113337","0.275124599","0.275896367","0.388557809","0.303558184","0.233401666","1.39768621","2.411563657","2.034419804",
"Germany","DEU","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","4.272964426","4.272964426","4.842693016","4.700260869","4.700260869","4.700260869","4.700260869","4.700260869","4.023708168","4.272964426","4.174609588","3.961931115","4.193259494","4.495344296","4.201604795","4.299955443","4.26853957","4.22703064","4.37927713","3.874530078","3.976509162","3.91396179","3.658637812","3.258416475","3.146951517","3.333017696","3.258102061","3.202075737","3.203233839","3.260465021","3.20236001","3.098115385","3.050412748","2.874717528","2.450916667","1.905","1.755","1.634792833","1.768154167","1.8132415","1.682821","1.616007","1.6315985","1.601469",
"Denmark","DNK","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.02","16.7","14.04","13.7","14.9425","13.91166667","13.39833333","17.645","16.06666667","17.65333333","15.605","16.54","20.4975","21.1175","13.82166667","9.794166667","6.933333333","10.09583333","7.6325","4.82","7.555","7.050740675","5.586190894","6.399526089","6.429166667","6.693333333","6.003333333","6.008966667","6.123208333","4.647391667","2.485175","6.739166667","9.161816667","9.770641667",
"Algeria","DZA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.58333333","14.5","12.60416667","9.125","8.25","7.5","6.25","5.333333333","5.25","3.645833333","1.9375","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75",
